2013-04-14,CourseSaint-Laurent,2KM
2013-04-14,RunforRetina,10KM
2013-04-21,CoursePrintaniereOka,"21,1KMCOURSE"
2013-04-21,CoursePrintaniereOka,10KMCOURSE
2013-04-21,Mercedes-Benz10K,10K
2013-04-21,TorontoYongeStreet10K,10KMRUN
2013-04-21,VancouverSunRun,10KM
2013-04-27,"RuntoendMSHalf-Marathon,5kmand10km",HALFMARATHON
2013-04-28,BanqueScotia21kmet5km,21KM
2013-04-28,BanqueScotia21kmet5km,5KM
2013-04-28,CourseduCegepTrois-Rivieres,10KM
2013-04-28,CourseduCegepTrois-Rivieres,5KM
2013-05-05,BMOVancouverMarathon,MARATHON
2013-05-05,BMOVancouverMarathon,HALFMARATHON
2013-05-05,CourseSte-Agathe,20KM
2013-05-05,CourseSte-Agathe,10KM
2013-05-05,DemiMarathonInternationalOasisdeLevis,DEMIMARATHON
2013-05-05,DemiMarathonInternationalOasisdeLevis,10KM
2013-05-05,DemiMarathonInternationalOasisdeLevis,5KM
2013-05-05,DéficourseetmarcheDesjardinsSainteThérèse,10KM
2013-05-05,DéficourseetmarcheDesjardinsSainteThérèse,5KM
2013-05-05,"GoodlifeTorontoMarathon,HalfMarathon,and5k",HALFMARATHON
2013-05-05,"GoodlifeTorontoMarathon,HalfMarathon,and5k",FULLMARATHON
2013-05-05,MississaugaMarathonRaces,HALFMARATHON
2013-05-05,MississaugaMarathonRaces,MARATHON
2013-05-05,PuertoRicoMarathonandHalfMarathon,MARATHON
2013-05-11,CoursedelaFondationhopitalSaintJerome,DEMI-MARATHON
2013-05-11,CoursedelaFondationhopitalSaintJerome,10KM
2013-05-11,CoursedelaFondationhopitalSaintJerome,5KM
2013-05-11,DayBeforeMother'sDayDuathlon&Relays,SHORTDUATHLON
2013-05-11,LeChallengeIRCM-Courirpourlavie,5KM
2013-05-12,AurythmedenosfouléesChâteauguay,DEMI-MARATHON
2013-05-12,AurythmedenosfouléesChâteauguay,5KM
2013-05-12,AurythmedenosfouléesChâteauguay,10KM
2013-05-12,BonjourPrintemps,DEMIMARATHON
2013-05-12,BonjourPrintemps,10KM
2013-05-12,BonjourPrintemps,5KM
2013-05-12,DefiGerardCotedeSt-Hyacinthe,10KM
2013-05-12,DefiGerardCotedeSt-Hyacinthe,5KM
2013-05-12,SportingLife10k,10KM
2013-05-16,CoursePlessisvilleensoiree,10KM
2013-05-16,CoursePlessisvilleensoiree,5KM
2013-05-18,OttawaEarlyBirdTriathlonandDuathlon,SPRINTTRIATHLON
2013-05-18,OttawaEarlyBirdTriathlonandDuathlon,LONGTRIATHON
2013-05-19,DesChenesToi,5KM-PHYSIOSANTE
2013-05-19,DesChenesToi,10KM-BOURRET
2013-05-19,DesChenesToi,2KM-ENERGIECARDIO
2013-05-19,DesChenesToi,1KM-MAXI
2013-05-19,DuathlonSorel-Tracy,COMPETITIF
2013-05-19,DuathlonSorel-Tracy,INTERMEDIAIRE
2013-05-19,IronmanFlorida70.3,OVERALLRESULTS
2013-05-19,ScotiabankBlueNoseMarathon,RECHARGEWITHMILKHALFMARATHON
2013-05-19,ScotiabankBlueNoseMarathon,SCOTIABANKFULLMARATHON
2013-05-19,ScotiabankBlueNoseMarathon,GOODLIFEFITNESS10KM
2013-05-19,ScotiabankBlueNoseMarathon,JOHNSON5KM
2013-05-19,VertleRaid-LeSentierUrbain,10KM
2013-05-20,SubaruVictoria'sDuathlon,DUATHLON
2013-05-25,DefiMemphre,10KM
2013-05-25,DefiMemphre,5KM
2013-05-25,DemiMarathonGenerations,5KM
2013-05-25,DemiMarathonGenerations,10KM
2013-05-25,FestivalQuebecensante10kmdubonheur,10KM
2013-05-25,FestivalQuebecensante10kmdubonheur,5KM
2013-05-25,OttawaRaceWeekend,OTTAWA10K
2013-05-25,OttawaRaceWeekend,HTGSPORTS5K
2013-05-25,OttawaRaceWeekend,OTTAWA2K
2013-05-26,CoursepourvaincrelaScleroseenPlaquesMont-Tremblant,10K
